"ID"	"batch"	"protocol"	"date"	"location"	"batch_date"
"C1_05_2024_12_15"	"20250110_2414630983"	"both"	"2024_12_15"	"05"	"20250110"
"D2_25_2024_12_15"	"20250110_2414630983"	"both"	"2024_12_15"	"25"	"20250110"
"F1_10_2024_12_15"	"20250110_2414630983"	"both"	"2024_12_15"	"10"	"20250110"
"B3_16_2024_12_16"	"20250110_2414630983"	"both"	"2024_12_16"	"16"	"20250110"
"G2_15_2024_12_16"	"20250110_2414630983"	"both"	"2024_12_16"	"15"	"20250110"
"G4_16_2024_12_18"	"20250110_2418562530"	"both"	"2024_12_18"	"16"	"20250110"
"A4_17_2024_12_19"	"20250110_2418562530"	"both"	"2024_12_19"	"17"	"20250110"
"C3_05_2024_12_19"	"20250110_2418562530"	"both"	"2024_12_19"	"05"	"20250110"
"D4_25_2024_12_19"	"20250110_2418562530"	"both"	"2024_12_19"	"25"	"20250110"
"F3_10_2024_12_19"	"20250110_2418562530"	"both"	"2024_12_19"	"10"	"20250110"
"H4_16_2024_12_19"	"20250110_2418562530"	"both"	"2024_12_19"	"16"	"20250110"
"A5_16_2024_12_20"	"20250110_2418562530"	"both"	"2024_12_20"	"16"	"20250110"
"B4_17_2024_12_20"	"20250110_2418562530"	"both"	"2024_12_20"	"17"	"20250110"
"D3_05_2024_12_20"	"20250110_2418562530"	"both"	"2024_12_20"	"05"	"20250110"
"E4_25_2024_12_20"	"20250110_2418562530"	"both"	"2024_12_20"	"25"	"20250110"
"G3_10_2024_12_20"	"20250110_2418562530"	"both"	"2024_12_20"	"10"	"20250110"
"C4_17_2024_12_21"	"20250110_2418562530"	"both"	"2024_12_21"	"17"	"20250110"
"E3_05_2024_12_21"	"20250110_2418562530"	"both"	"2024_12_21"	"05"	"20250110"
"F4_25_2024_12_21"	"20250110_2418562530"	"both"	"2024_12_21"	"25"	"20250110"
"H3_10_2024_12_21"	"20250110_2418562530"	"both"	"2024_12_21"	"10"	"20250110"
"B5_05_2024_12_23"	"20250113_2414641386"	"both"	"2024_12_23"	"05"	"20250113"
"C6_25_2024_12_23"	"20250113_2414641386"	"both"	"2024_12_23"	"25"	"20250113"
"E5_10_2024_12_23"	"20250113_2414641386"	"both"	"2024_12_23"	"10"	"20250113"
"H5_17_2024_12_23"	"20250113_2414641386"	"both"	"2024_12_23"	"17"	"20250113"
"F6_16_2024_12_24"	"20250113_2414641386"	"both"	"2024_12_24"	"16"	"20250113"
"F5_10_2024_12_27"	"20250113_2414641386"	"both"	"2024_12_27"	"10"	"20250113"
"A6_17_2024_12_28"	"20250113_2414641386"	"both"	"2024_12_28"	"17"	"20250113"
"C5_05_2024_12_28"	"20250113_2414641386"	"both"	"2024_12_28"	"05"	"20250113"
