"","ara_id","sample_id","collection_date","flow","loq","pathogen","conc","total_pop","ara_name","load","median_7d"
"73",26101,"10_2025_03_10",2025-03-10,147353,32880,"RSV-A",22802.008,475198,"Werdhölzli",7070619.58346626,3681522.62486374
"74",26101,"10_2025_03_10",2025-03-10,147353,32880,"RSV-B",12193.027,475198,"Werdhölzli",3780906.29070619,3564459.7979579
"75",26101,"10_2025_03_15",2025-03-15,140805,32880,"RSV-A",13322.283,475198,"Werdhölzli",3947499.90070455,3665875.19187791
"76",26101,"10_2025_03_15",2025-03-15,140805,32880,"RSV-B",12029.574,475198,"Werdhölzli",3564459.7979579,3564459.7979579
"77",26101,"10_2025_03_18",2025-03-18,148006,32880,"RSV-A",11769.905,475198,"Werdhölzli",3665875.19187791,3681522.62486374
"78",26101,"10_2025_03_18",2025-03-18,148006,32880,"RSV-B",3886.1216,475198,"Werdhölzli",1210378.22871645,2610501.12553083
"79",26101,"10_2025_03_23",2025-03-23,166834,32880,"RSV-A",10486.185,475198,"Werdhölzli",3681522.62486374,3681522.62486374
"80",26101,"10_2025_03_23",2025-03-23,166834,32880,"RSV-B",4493.5464,475198,"Werdhölzli",1577608.32347274,2851970.52487174
"81",26101,"10_2025_03_26",2025-03-26,215661,32880,"RSV-A",6679.5605,475198,"Werdhölzli",3031411.5315942,3665875.19187791
"82",26101,"10_2025_03_26",2025-03-26,215661,32880,"RSV-B",8306.682,475198,"Werdhölzli",3769854.55915639,1720756.43115943
"83",26101,"10_2025_03_28",2025-03-28,144007,32880,"RSV-A",15554.369,475198,"Werdhölzli",4713694.11610108,3031411.5315942
"84",26101,"10_2025_03_28",2025-03-28,144007,32880,"RSV-B",5678.1963,475198,"Werdhölzli",1720756.43115943,1577608.32347274
"85",26101,"10_2025_04_03",2025-04-03,144426,32880,"RSV-A",4635.4653,475198,"Werdhölzli",1408847.91480141,1761864.26898766
"86",26101,"10_2025_04_03",2025-04-03,144426,32880,"RSV-B",9383.703,475198,"Werdhölzli",2851970.52487174,1577608.32347274
"87",26101,"10_2025_04_05",2025-04-05,135907,32880,"RSV-A",3152.4155,475198,"Werdhölzli",901593.300810399,1408847.91480141
"88",26101,"10_2025_04_05",2025-04-05,135907,32880,"RSV-B",3152.4155,475198,"Werdhölzli",901593.300810399,901593.300810399
"89",26101,"10_2025_04_07",2025-04-07,140642,32880,"RSV-A",2799.335,475198,"Werdhölzli",828505.324243789,1408847.91480141
