,sample_id,date,location,subtype,genome_region,nuc_diversity,covered_part,mean_pos_coverage,richness
267,D2_25_2024_12_15,2024_12_15,25,RSV-A,G,,0.0,0.650103519668737,
268,D2_25_2024_12_15,2024_12_15,25,RSV-A,F,,0.0,0.0736231884057971,
269,D2_25_2024_12_15,2024_12_15,25,RSV-A,genome,,0.0,0.0599671592775041,
270,F1_10_2024_12_15,2024_12_15,10,RSV-A,G,,0.0,0.11387163561076605,
271,F1_10_2024_12_15,2024_12_15,10,RSV-A,F,,0.0,0.02434782608695652,
272,F1_10_2024_12_15,2024_12_15,10,RSV-A,genome,0.0010782701341965108,0.44288998357963877,2485.0126765188834,14.83019427554501
273,B3_16_2024_12_16,2024_12_16,16,RSV-A,G,0.013096848018663306,0.7950310559006211,9274.203933747413,52.083333333333336
274,B3_16_2024_12_16,2024_12_16,16,RSV-A,F,0.006959883181528563,0.6892753623188406,5696.365797101449,21.026072329688816
275,B3_16_2024_12_16,2024_12_16,16,RSV-A,genome,0.00543817410593931,0.6439408866995074,3726.745353037767,22.541819665442677
276,G2_15_2024_12_16,2024_12_16,15,RSV-A,G,,0.0,0.0,
