location	variant	date	proportion	proportionLower	proportionUpper
Lugano (TI)	B.D.E.1.8	2024-12-28	0.023715344413981234	0.0009371412716797365	0.15104766138911457
Lugano (TI)	B.D.E.1.8	2024-12-29	0.04256507528723964	0.0011720524456062117	0.6717960097954079
Lugano (TI)	B.D.E.1.8	2025-01-09	0.5965130561152482	0.006159876017685866	0.9869255421642836
Lugano (TI)	B.D.E.1.8	2025-01-11	0.5985801752510916	0.006510549821987827	0.9880138771816688
Lugano (TI)	B.D.E.1.8	2025-01-13	0.5693793325288287	0.007216130502909588	0.9880628022777835
Lugano (TI)	B.D.E.1.8	2025-01-19	0.14474386132646638	0.004139295223405568	0.9032022761713684
Lugano (TI)	B.D.E.1.8	2025-01-24	0.059077351810906224	0.0030928187017068096	0.42769735237795853
Lugano (TI)	B.D.E.1.8	2025-02-01	0.005160177692740439	0.001335871321354344	0.014772342891423318
Lugano (TI)	B.D.E.1.8	2025-02-06	0.002455264576635076	0.0008317977998737505	0.005179075782707953
Lugano (TI)	B.D.E.1.8	2025-02-09	0.002000070400920769	0.0006801028788587831	0.004246244834560298
Lugano (TI)	B.D.E.1.8	2025-02-10	0.0019649350457954916	0.0006641681569295458	0.004097162118789331
Lugano (TI)	B.D.E.1.8	2025-02-14	0.0021906138496057795	0.0008521369690984348	0.004679878334795458
Lugano (TI)	B.D.E.1.8	2025-02-18	0.0031146546374293278	0.001184401336126184	0.006054981440449832
Lugano (TI)	B.D.E.1.8	2025-02-22	0.006673443534581726	0.002530276850369757	0.013266523358589842
Lugano (TI)	B.D.E.1.8	2025-02-26	0.06955400322282214	0.006220353840813423	0.3572729810244951
Lugano (TI)	B.D.E.1.8	2025-03-02	0.20370007123875955	0.007822973079552412	0.5046843299542879
Lugano (TI)	B.D.E.1.8	2025-03-06	0.1938509774992944	0.006539707167907296	0.522475141754714
Lugano (TI)	B.D.E.1.8	2025-03-07	0.16747200688921082	0.005756257695224578	0.5253765209737405
Lugano (TI)	B.D.E.1.8	2025-03-15	0.01873635138666652	0.003053378787125507	0.09471869362815838
Lugano (TI)	B.D.E.1.8	2025-03-23	0.002576981278898819	0.0006784007134173671	0.006582534072196232
Lugano (TI)	B.D.E.1.8	2025-03-26	0.002104305911834145	0.0003806566805407238	0.005525796000075575
Lugano (TI)	B.D.E.1.8	2025-03-28	0.001979784409225769	0.00036815885535302305	0.004821320179121751
Lugano (TI)	B.D.E.1.8	2025-04-03	0.0013315331241284924	0.0004478300477319021	0.0028695259258966124
Lugano (TI)	B.D.E.1.8	2025-04-05	0.0011891584836020179	0.00020322190085751246	0.0025987232024645072
Lugano (TI)	B.D.E.1.8	2025-04-07	0.0012394065256315697	6.0537111417081365e-05	0.0031210203084235505
Lugano (TI)	B.D.E.1.8	2025-04-15	0.0007655922244974296	1.184066946788038e-11	0.0032695972689015446
Lugano (TI)	B.D.E.1.8	2025-04-18	0.00028686408986790957	2.697701220590978e-07	0.0011534021288726846
Lugano (TI)	B.D.E.7	2024-12-03	0.0006718328377561444	3.8793953429099026e-19	0.002327045412474499
Lugano (TI)	B.D.E.7	2024-12-07	0.0005304861953574196	4.895579375301388e-16	0.0017785922908018187
Lugano (TI)	B.D.E.7	2024-12-08	0.000533999530005718	3.758714227707526e-17	0.0017170737487945326
Lugano (TI)	B.D.E.7	2024-12-11	0.0005470861202956112	1.7954657608305336e-17	0.0015876601076991314
Lugano (TI)	B.D.E.7	2024-12-13	0.0005486804877680895	9.306696847709974e-18	0.0015517518039127166
Lugano (TI)	B.D.E.7	2024-12-15	0.0005545128948931033	2.69883776325694e-19	0.0016398937254742643
Lugano (TI)	B.D.E.7	2024-12-19	0.0006160432568381795	1.9660688236777747e-20	0.0019745015839049574
Lugano (TI)	B.D.E.7	2024-12-20	0.0006515551729281769	9.098138298100853e-21	0.0021759322024606426
Lugano (TI)	B.D.E.7	2024-12-28	0.0015620254372994689	3.048734753787765e-16	0.004767980173609874
Lugano (TI)	B.D.E.7	2024-12-29	0.0017709731200943434	5.1892918062415295e-12	0.005428132068370987
